Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI,,,,,,,
A1,0.1702,2.25,0.0038,63.1412,-2.9439,0.0036,0.0039,0.0036,0.0039,,,0.0038,0.0039,,2.25,2.0617
A2,0.2351,2.2331,0.0041,101.184,-3.6263,0.004,0.0042,0.004,0.0042,,,0.0041,0.0041,,2.2331,2.0198
A3,0.2686,2.133,0.0043,142.0967,-4.0482,0.0043,0.0044,0.0043,0.0044,,,0.0043,0.004,,2.133,2.4166
A5,0.236,2.0617,0.0039,62.1945,-3.6732,0.0038,0.0039,0.0038,0.0039,,,0.0052,0.0045,,1.6114,1.8544
A6,0.264,2.0198,0.0041,73.0218,-3.8085,0.004,0.0041,0.004,0.0041,,,0.0044,0.0045,,1.9117,1.7568
A7,-0.0779,2.4166,0.004,58.7886,-3.2728,0.0038,0.0041,0.0038,0.0041,,,0.0046,0.0042,,1.847,1.7459
B1,0.4407,1.6114,0.0052,108.3448,-2.9992,0.005,0.0055,0.005,0.0055,,,0.0033,0.0044,,2.8102,1.9946
B2,0.2737,1.9117,0.0044,75.6992,-4.2157,0.0043,0.0045,0.0043,0.0044,,,0.0036,0.0043,,1.8489,2.0868
B3,0.2835,1.847,0.0046,131.2669,-3.9278,0.0046,0.0047,0.0046,0.0047,,,0.0037,0.0042,,1.8127,2.0119
B5,0.2722,1.8544,0.0045,76.2119,-4.028,0.0044,0.0046,0.0044,0.0045,,,0.0045,0.0045,,1.8271,1.843
B6,0.3157,1.7568,0.0045,115.8946,-3.8007,0.0044,0.0046,0.0044,0.0046,,,0.0046,0.0046,,1.8421,1.7392
B7,0.3302,1.7459,0.0042,109.0451,-3.9201,0.0041,0.0043,0.0041,0.0043,,,0.0045,0.0044,,1.8045,1.7878
C1,-0.5662,2.8102,0.0033,240.1181,-3.1379,0.0031,0.0037,0.0031,0.0034,,,0.0044,0.0044,,2.0948,1.8657
C2,0.2863,1.8489,0.0036,104.0187,-3.9123,0.0036,0.0037,0.0036,0.0037,,,0.0045,0.0048,,1.7879,1.8952
C3,0.3353,1.8127,0.0037,112.9791,-3.8675,0.0036,0.0038,0.0036,0.0037,,,0.005,0.0042,,1.9116,1.9097
C5,0.2258,1.9946,0.0044,47.9903,-3.8033,0.0043,0.0045,0.0043,0.0044,,,,,,,
C6,0.1918,2.0868,0.0043,12.4404,-3.4602,0.0042,0.0044,0.0042,0.0044,,,0.822556167,,,,0.580151918
C7,0.2781,2.0119,0.0042,45.8479,-3.8948,0.0042,0.0043,0.0042,0.0043,,,,,,,
D1,0.3359,1.8271,0.0045,124.1608,-3.805,0.0044,0.0046,0.0044,0.0045,,,,,,,
D2,0.3345,1.8421,0.0046,85.2777,-3.7446,0.0045,0.0047,0.0045,0.0047,,,,,,,
D3,0.3469,1.8045,0.0045,131.7274,-3.6403,0.0044,0.0046,0.0044,0.0046,,,0.009291476,,,,
D5,0.2884,1.843,0.0045,76.9855,-3.933,0.0044,0.0045,0.0044,0.0045,,,,,,,
D6,0.3691,1.7392,0.0046,108.5998,-3.9059,0.0045,0.0047,0.0045,0.0047,,,,,,,
D7,0.3347,1.7878,0.0044,132.5137,-3.7661,0.0043,0.0045,0.0043,0.0044,,,,,,,
E1,0.2601,2.0948,0.0044,23.4765,-5.0657,0.0044,0.0044,0.0044,0.0044,,,,,,,
E2,0.4389,1.7879,0.0045,65.906,-4.7039,0.0045,0.0046,0.0045,0.0046,,,0.073751147,,,,
E3,0.3035,1.9116,0.005,80.5388,-4.1219,0.0049,0.0051,0.0049,0.0051,,,,,,,
E5,0.293,1.8657,0.0044,113.1191,-3.9264,0.0043,0.0045,0.0043,0.0044,,,,,,,
E6,0.2998,1.8952,0.0048,28.998,-4.1117,0.0047,0.0049,0.0047,0.0048,,,,,,,
E7,0.2789,1.9097,0.0042,96.1648,-4.1094,0.0042,0.0043,0.0042,0.0043,,,,,,,
F1,0.2903,2.1828,0.0042,98.9468,-4.5847,0.0042,0.0043,0.0042,0.0043,,,,,,,
F2,0.2284,2.1484,0.0043,74.2383,-4.3758,0.0043,0.0044,0.0043,0.0043,,,,,,,
F3,0.3433,2.0046,0.0045,51.2868,-4.3895,0.0045,0.0046,0.0045,0.0045,,,,,,,
F5,0.2655,2.1026,0.0035,57.6308,-3.9795,0.0034,0.0035,0.0034,0.0035,,,,,,,
F6,0.2533,2.1038,0.0034,21.6361,-3.7576,0.0034,0.0035,0.0034,0.0035,,,,,,,
F7,0.1666,2.3032,0.0032,16.8709,-3.5193,0.0031,0.0033,0.0031,0.0033,,,,,,,
